gene,WD_t1_wt_VS_WD_t1_DKO_FC
Prrg3,1.05412258712761
Dtna,1.4480711661438601
Tgm1,-2.3643600269493596
Mroh1,-0.788975579033607
Ctss,-5.234001024266839
Ccdc107,0.885682921947912
Havcr2,-4.81073303043014
Nt5e,-1.3816684387099498
Mmp3,-1.87103941730174
Ifit1,-1.29523088584654
Nlrc4,-1.93618126830575
Xdh,-1.2466788095046297
Cd86,-1.82084963318685
Mx1,-2.12179139233444
Hcfc1r1,0.6966159363532421
Ugt1a7c,-3.0542703226384003
5430427O19Rik,-2.37592589141587
Nek6,-1.2731439076528501
Hivep3,-1.66850436407169
Sh3bgr,1.63027425538412
Acp5,-1.5780290083108899
Gsap,-1.5322485188061299
Lims2,0.9396926392665401
Mfsd12,-2.2609977509107404
Cx3cl1,-2.56183244506911
Acp2,-0.747614235104675
Tenm3,1.0331767036836301
Tmprss9,2.12370916305206
Gpr161,1.0500219910658901
Tnik,1.61897198585711
Capn15,-0.9365305621173109
Fxyd5,-2.60132180848099
Ms4a6d,-4.57353315621366
Gltp,-1.36073221865786
Gdf3,-3.86461497166489
Chpf2,-0.8180499129120301
Ms4a4a,-1.8825615050270101
H2-T24,-1.2168505737954298
Il1a,-3.9887840160494195
Arhgap31,-0.720499814624996
Atp6v0d1,-0.7758410535921791
Spcs3,-0.755470058878488
Rftn1,-1.6481227931292501
Hps1,-0.873160319074111
Gusb,-2.92952774934815
Ahr,-1.06203742211935
Filip1,1.08470068503466
Cep97,0.9599236518455879
Milr1,-3.1718309249270695
Fcgr4,-4.39824016230254
Pla2g4e,2.350782523021
Ltk,3.04567763436913
Lgals3,-5.53387623846199
Tbata,4.9214496084871
Gpr88,-3.86325439158755
Nagpa,-0.759680135739124
Myb,5.8865261770207695
Plek,-4.54877224586752
Cdh4,1.6317565367681
Nans,-0.9109185669808809
4933430I17Rik,-3.2378479274966496
Tpm3,-1.13104442233455
Cx3cr1,-2.3507941248785
Efhd1,1.4600219293216101
Mfsd11,-0.773335918981673
Pira1,-3.7023404261925097
Alcam,-1.1566589505722
Ccnd1,-1.1040947443741
Dclk1,-2.10541009625706
Nnt,1.4088076602585602
Ripk3,-1.47096916570282
Capn3,2.12141160765959
Hdac11,1.1071096494291799
Cxcr4,-1.7700335218893102
Cxcl13,-2.96330257144407
Irf7,-1.3782557097786499
Cacnb2,1.4633405742482501
Ifitm1,-1.95367154573066
Cdk18,-4.470267173509269
Fam83f,-5.01448140047906
Pip5k1b,2.18671432191804
Prdx1,-0.835463115073282
Shc2,-0.888274487392285
Gas2l3,-2.4050852559800697
C1qtnf2,1.31498398282979
Eml5,1.00478195926601
Tnfrsf1a,-0.86899218247885
Fn1,-2.2635397253030898
Napepld,1.5213484178227499
Fbxl22,1.6207149427406102
Itgb4,-1.13908788659488
Lipa,-2.08445614096214
Apoe,4.856864655555599
Lum,-2.43114892812797
Dhrs9,-1.9847780743992298
Arpp21,6.032418159703389
Cyba,-2.64440576189959
Pard3b,0.9780119422551009
Cyp7b1,-2.22823149384532
Fgd2,-1.8005644382968602
Plekhm2,-0.9583108774356229
Lyz1,-3.42211359846105
Sh3tc1,-0.922316682629202
Rtp4,-1.30315944872432
Aph1c,-1.81850610669217
Ctsb,-2.5543104110203703
Tmem35,1.51399498112079
Casq1,2.3855308024311297
Col22a1,-3.1643523723442297
Cers6,-2.1395995045282503
Il18bp,-3.2794994753321802
Tmem106a,-1.81013465653726
Os9,-0.8579977421872759
Tceal6,3.00355067704496
Arhgdib,-1.08464234767464
Slc7a7,-2.5314769342993597
